dsp_item_id	college	award_total	award_range	fiscal_year
10085581	Engineering	241909.00	3	2011
10086210	Medicine	1168504.00	4	2011
10086452	Medicine	5000.00	1	2011
10085485	Engineering	112489.00	3	2011
10085521	Engineering	50000.00	2	2011
10085447	Engineering	145686.00	3	2011
10085362	Engineering	873318.00	3	2011
10085376	Engineering	104310.00	3	2011
10085385	Engineering	7023.00	1	2011
10086380	Medicine	25395.00	2	2011
10086913	Medicine	62500.00	2	2011
10086418	Engineering	24918.00	2	2011
10086454	Engineering	340000.00	3	2011
10087052	Medicine	50000.00	2	2011
10087718	Medicine	17000.00	2	2011
10087832	Medicine	0.00	1	2011
10087975	Medicine	557139.00	3	2011
10086480	Engineering	20000.00	2	2011
10086535	Engineering	220439.00	3	2011
10087315	Medicine	33772.00	2	2011
10087316	Medicine	0.00	1	2011
10086258	Engineering	89385.00	2	2011
10086290	Engineering	58919.00	2	2011
10086330	Engineering	71439.00	2	2011
10086251	Engineering	938679.00	3	2011
10086758	Engineering	225095.00	3	2011
10086867	Engineering	10255.00	2	2011
10087349	Medicine	32056.00	2	2011
10087531	Medicine	1161350.00	4	2011
10086827	Engineering	1686.00	1	2011
10086830	Engineering	13344.00	2	2011
10088225	Medicine	612073.00	3	2011
10088470	Medicine	100000.00	3	2011
10086810	Engineering	97178.00	2	2011
10086642	Engineering	9890.00	1	2011
10088747	Medicine	710000.00	3	2011
10088750	Medicine	100000.00	3	2011
10086776	Engineering	13000.00	2	2011
10084774	Engineering	45388.00	2	2011
10088752	Medicine	50000.00	2	2011
10088753	Medicine	50000.00	2	2011
10084775	Engineering	1946.00	1	2011
10084776	Engineering	14398.00	2	2011
10084694	Engineering	25000.00	2	2011
10083967	Engineering	39451.00	2	2011
10088754	Medicine	43750.00	2	2011
10088755	Medicine	25000.00	2	2011
10084360	Engineering	159663.00	3	2011
10084421	Engineering	66940.00	2	2011
10088744	Medicine	15000.00	2	2011
10088480	Medicine	1878.00	1	2011
10084464	Engineering	82698.00	2	2011
10083847	Engineering	30000.00	2	2011
10088325	Medicine	21180.00	2	2011
10088389	Medicine	12350.00	2	2011
10083884	Engineering	50960.00	2	2011
10083713	Engineering	279691.00	3	2011
10088138	Medicine	5000.00	1	2011
10087585	Medicine	2000.00	1	2011
10084842	Engineering	59938.00	2	2011
10084943	Engineering	59491.00	2	2011
10088018	Medicine	35000.00	2	2011
10087856	Medicine	2025.00	1	2011
10087903	Medicine	167170.00	3	2011
10087925	Medicine	2200.00	1	2011
10086796	Dentistry	639456.00	3	2011
10085186	Dentistry	259875.00	3	2011
10085291	Dentistry	112116.00	3	2011
10086061	Dentistry	0.00	1	2011
10087389	Dentistry	345563.00	3	2011
10085068	Dentistry	109927.00	3	2011
10087805	Dentistry	222750.00	3	2011
10088071	Dentistry	461094.00	3	2011
10084594	Dentistry	17925.00	2	2011
10084605	Dentistry	5655.00	1	2011
10084640	Dentistry	196623.00	3	2011
10084740	Dentistry	100000.00	3	2011
10083594	Other Administrative Units	279765.00	3	2011
10088699	Other Administrative Units	6016628.00	4	2011
10085061	Engineering	40000.00	2	2011
10085062	Engineering	28750.00	2	2011
10088585	Other Administrative Units	3000.00	1	2011
10084987	Other Administrative Units	10254.00	2	2011
10087645	Medicine	37084.00	2	2011
10087668	Medicine	493411.00	3	2011
10084768	Dentistry	168329.00	3	2011
10084813	Dentistry	112419.00	3	2011
10084946	Other Administrative Units	1842.00	1	2011
10086768	Other Administrative Units	18000.00	2	2011
10085235	Engineering	4486.00	1	2011
10085278	Engineering	5402.00	1	2011
10085077	Dentistry	84305.00	2	2011
10084303	Dentistry	5000.00	1	2011
10085567	Other Administrative Units	12000.00	2	2011
10085968	Other Administrative Units	990000.00	3	2011
10085132	Engineering	15028.00	2	2011
10085222	Engineering	132943.00	3	2011
10084526	Dentistry	32910.00	2	2011
10087110	Dentistry	6085.00	1	2011
10087023	Medicine	45200.00	2	2011
10087063	Medicine	20000.00	2	2011
10085461	Other Administrative Units	12872.00	2	2011
10084998	Other Administrative Units	100000.00	3	2011
10079159	Engineering	34668.00	2	2011
10080438	Engineering	110000.00	3	2011
10085256	Other Administrative Units	35757.00	2	2011
10086787	Other Administrative Units	7898.00	1	2011
10081741	Engineering	1800.00	1	2011
10081841	Engineering	42462.00	2	2011
10088051	Dentistry	816769.00	3	2011
10087596	Dentistry	3730.00	1	2011
10086823	Other Administrative Units	1159386.00	4	2011
10085839	Other Administrative Units	845176.00	3	2011
10082735	Engineering	641737.00	3	2011
10082769	Engineering	16319.00	2	2011
10084535	Dentistry	1500.00	1	2011
10084130	Education	165000.00	3	2011
10082854	Engineering	30671.00	2	2011
10082894	Engineering	120000.00	3	2011
10085877	Other Administrative Units	38948.00	2	2011
10085702	Other Administrative Units	50000.00	2	2011
10084665	Education	144754.00	3	2011
10085513	Education	150000.00	3	2011
10082597	Engineering	5512.00	1	2011
10083184	Engineering	296358.00	3	2011
10086165	Other Administrative Units	123457.00	3	2011
10086401	Other Administrative Units	26025.00	2	2011
10086598	Education	3307.00	1	2011
10085537	Education	116729.00	3	2011
10087239	Medicine	5850.00	1	2011
10086491	Medicine	25000.00	2	2011
10083185	Engineering	705320.00	3	2011
10083330	Engineering	30000.00	2	2011
10083401	Engineering	65000.00	2	2011
10083500	Engineering	153350.00	3	2011
10088501	Education	16068.00	2	2011
10088316	Education	304200.00	3	2011
10086464	Other Administrative Units	226563.00	3	2011
10086800	Other Administrative Units	40000.00	2	2011
10084134	Engineering	38158.00	2	2011
10084154	Engineering	0.00	1	2011
10086237	Education	25000.00	2	2011
10086458	Education	15000.00	2	2011
10087482	Other Administrative Units	16286.00	2	2011
10087463	Other Administrative Units	513430.00	3	2011
10084206	Engineering	2065.00	1	2011
10084264	Engineering	146805.00	3	2011
10087760	Other Administrative Units	535000.00	3	2011
10085190	Other Administrative Units	195329.00	3	2011
10086459	Education	1000.00	1	2011
10086812	Education	10000.00	2	2011
10084265	Engineering	8544.00	1	2011
10084297	Engineering	151406.00	3	2011
10086432	Medicine	49100.00	2	2011
10085792	Medicine	4500.00	1	2011
10085193	Other Administrative Units	35875.00	2	2011
10085497	Other Administrative Units	17239.00	2	2011
10087189	Education	149960.00	3	2011
10087695	Education	60269.00	2	2011
10084353	Engineering	41000.00	2	2011
10084991	Engineering	31770.00	2	2011
10085523	Education	43690.00	2	2011
10085533	Education	100000.00	3	2011
10084949	Engineering	166967.00	3	2011
10076024	Engineering	99000.00	2	2011
10085394	Other Administrative Units	23544.00	2	2011
10085395	Other Administrative Units	4181.00	1	2011
10085128	Education	24059.00	2	2011
10085148	Education	587242.00	3	2011
10085396	Other Administrative Units	134663.00	3	2011
10085031	Other Administrative Units	14736.00	2	2011
10084018	Engineering	108423.00	3	2011
10084628	Engineering	40000.00	2	2011
10085369	Education	1508988.00	4	2011
10085407	Education	495270.00	3	2011
10085054	Other Administrative Units	290010.00	3	2011
10084887	Other Administrative Units	76091.00	2	2011
10086760	Engineering	87591.00	2	2011
10086586	Engineering	40000.00	2	2011
10084934	Education	53472.00	2	2011
10084131	Education	74804.00	2	2011
10084919	Other Administrative Units	43700.00	2	2011
10084983	Other Administrative Units	42623.00	2	2011
10086587	Engineering	40000.00	2	2011
10086588	Engineering	40000.00	2	2011
10084180	Education	21975.00	2	2011
10083091	Education	416501.00	3	2011
10084708	Other Administrative Units	245794.00	3	2011
10084010	Other Administrative Units	666265.00	3	2011
10085531	Engineering	175020.00	3	2011
10086150	Engineering	40000.00	2	2011
10083754	Education	12500.00	2	2011
10085408	Education	4200.00	1	2011
10088427	Other Administrative Units	292569.00	3	2011
10088507	Other Administrative Units	23975.00	2	2011
10085622	Engineering	18252.00	2	2011
10087528	Engineering	60551.00	2	2011
10085409	Education	20000.00	2	2011
10087907	Education	35000.00	2	2011
10087411	Engineering	11994.00	2	2011
10087415	Engineering	146529.00	3	2011
10088508	Other Administrative Units	207974.00	3	2011
10088285	Other Administrative Units	554698.00	3	2011
10087954	Education	32587.00	2	2011
10088072	Education	22460.00	2	2011
10085985	Medicine	4000.00	1	2011
10085281	Medicine	246807.00	3	2011
10086911	Engineering	77000.00	2	2011
10088463	Engineering	40000.00	2	2011
10088073	Education	198091.00	3	2011
10086079	Education	11134.00	2	2011
10088110	Other Administrative Units	257155.00	3	2011
10085474	Other Administrative Units	788303.00	3	2011
10085320	Medicine	184375.00	3	2011
10085106	Medicine	73026.00	2	2011
10087641	Engineering	300000.00	3	2011
10086621	Engineering	135706.00	3	2011
10085013	Education	30415.00	2	2011
10085014	Education	27248.00	2	2011
10084584	Engineering	400003.00	3	2011
10083514	Engineering	300000.00	3	2011
10086572	Other Administrative Units	2191288.00	4	2011
10084764	Other Administrative Units	85678.00	2	2011
10085238	Education	75000.00	2	2011
10087999	Education	627187.00	3	2011
10082934	Engineering	66946.00	2	2011
10085105	Graduate College	11727.00	2	2011
10083790	Other Administrative Units	20218.00	2	2011
10084354	Other Administrative Units	95700.00	2	2011
10088000	Education	851921.00	3	2011
10085623	Engineering	87240.00	2	2011
10085204	Graduate College	11727.00	2	2011
10085205	Graduate College	9967.00	1	2011
10085621	Engineering	45000.00	2	2011
10087096	Engineering	9000.00	1	2011
10084684	Other Administrative Units	210516.00	3	2011
10085353	Other Administrative Units	2400.00	1	2011
10085113	Medicine	267628.00	3	2011
10085114	Medicine	235593.00	3	2011
10085665	Graduate College	11727.00	2	2011
10086690	Graduate College	16631.00	2	2011
10087356	Engineering	105289.00	3	2011
10087244	Engineering	19600.00	2	2011
10087587	Graduate College	13727.00	2	2011
10086918	Graduate College	40000.00	2	2011
10085354	Other Administrative Units	90001.00	2	2011
10085670	Other Administrative Units	549103.00	3	2011
10085279	Graduate College	26000.00	2	2011
10086549	Graduate College	149617.00	3	2011
10085725	Other Administrative Units	145047.00	3	2011
10086571	Other Administrative Units	300000.00	3	2011
10086594	Graduate College	43755.00	2	2011
10086693	Graduate College	220000.00	3	2011
10085812	Other Administrative Units	2186797.00	4	2011
10085928	Other Administrative Units	42000.00	2	2011
10085121	Medicine	1689695.00	4	2011
10085510	Medicine	45509.00	2	2011
10085615	Graduate College	481000.00	3	2011
10081776	Graduate College	217965.00	3	2011
10085706	Medicine	25000.00	2	2011
10085754	Medicine	282750.00	3	2011
10086955	Other Administrative Units	39600.00	2	2011
10087108	Other Administrative Units	37500.00	2	2011
10084474	Graduate College	12690.00	2	2011
10085335	Graduate College	26000.00	2	2011
10085755	Medicine	11600.00	2	2011
10085765	Medicine	42856.00	2	2011
10087109	Other Administrative Units	54960.00	2	2011
10088066	Other Administrative Units	34312.00	2	2011
10086548	Graduate College	208044.00	3	2011
10086611	Graduate College	197028.00	3	2011
10087219	Other Administrative Units	350238.00	3	2011
10087289	Other Administrative Units	0.00	1	2011
10087305	Other Administrative Units	80227.00	2	2011
10087591	Other Administrative Units	34000.00	2	2011
10087553	Graduate College	70000.00	2	2011
10088435	Graduate College	89667.00	2	2011
10087613	Other Administrative Units	12287.00	2	2011
10087841	Other Administrative Units	113261.00	3	2011
10086658	Graduate College	10330.00	2	2011
10086425	Law	10000.00	2	2011
10085696	Medicine	18600.00	2	2011
10085697	Medicine	13300.00	2	2011
10087860	Other Administrative Units	578315.00	3	2011
10086324	Other Administrative Units	111739.00	3	2011
10081942	Medicine	143753.00	3	2011
10082624	Medicine	1348298.00	4	2011
10086844	Law	22000.00	2	2011
10087114	Law	120000.00	3	2011
10085549	Law	136263.00	3	2011
10086325	Other Administrative Units	2320.00	1	2011
10086327	Other Administrative Units	5660.00	1	2011
10086216	Law	34844.00	2	2011
10086837	Law	25047.00	2	2011
10087961	Liberal Arts and Sciences	29000.00	2	2011
10086377	Other Administrative Units	236292.00	3	2011
10086617	Other Administrative Units	274701.00	3	2011
10088640	Liberal Arts and Sciences	7500.00	1	2011
10083989	Liberal Arts and Sciences	15000.00	2	2011
10086618	Other Administrative Units	381820.00	3	2011
10086619	Other Administrative Units	1604832.00	4	2011
10085358	Liberal Arts and Sciences	15000.00	2	2011
10083580	Liberal Arts and Sciences	70800.00	2	2011
10083821	Medicine	42750.00	2	2011
10084026	Medicine	24750.00	2	2011
10082168	Liberal Arts and Sciences	74776.00	2	2011
10082000	Liberal Arts and Sciences	421467.00	3	2011
10086620	Other Administrative Units	35000.00	2	2011
10085606	Other Administrative Units	150000.00	3	2011
10084065	Medicine	163230.00	3	2011
10083319	Medicine	6708.00	1	2011
10083528	Liberal Arts and Sciences	225500.00	3	2011
10083915	Liberal Arts and Sciences	54000.00	2	2011
10085607	Other Administrative Units	225000.00	3	2011
10084302	Other Administrative Units	470209.00	3	2011
10084847	Medicine	16468.00	2	2011
10084807	Medicine	128960.00	3	2011
10084344	Liberal Arts and Sciences	297498.00	3	2011
10085417	Liberal Arts and Sciences	30690.00	2	2011
10083587	Other Administrative Units	227500.00	3	2011
10084749	Other Administrative Units	734439.00	3	2011
10084885	Other Administrative Units	125000.00	3	2011
10084979	Other Administrative Units	10000.00	2	2011
10085015	Other Administrative Units	250000.00	3	2011
10084993	Other Administrative Units	667503.00	3	2011
10085301	Liberal Arts and Sciences	181829.00	3	2011
10085321	Liberal Arts and Sciences	26000.00	2	2011
10085580	Liberal Arts and Sciences	36710.00	2	2011
10084654	Liberal Arts and Sciences	249000.00	3	2011
10084978	Other Administrative Units	250597.00	3	2011
10084750	Other Administrative Units	159506.00	3	2011
10085049	Medicine	610924.00	3	2011
10084606	Medicine	575243.00	3	2011
10084747	Other Administrative Units	96960.00	2	2011
10084748	Other Administrative Units	399700.00	3	2011
10084655	Liberal Arts and Sciences	374988.00	3	2011
10085033	Liberal Arts and Sciences	309879.00	3	2011
10084478	Medicine	52000.00	2	2011
10083523	Medicine	40000.00	2	2011
10084124	Other Administrative Units	230969.00	3	2011
10085688	Other Administrative Units	380486.00	3	2011
10083120	Medicine	55000.00	2	2011
10083123	Medicine	25000.00	2	2011
10085130	Liberal Arts and Sciences	75000.00	2	2011
10085084	Liberal Arts and Sciences	935849.00	3	2011
10085171	Other Administrative Units	49680.00	2	2011
10085172	Other Administrative Units	24003.00	2	2011
10085207	Liberal Arts and Sciences	221612.00	3	2011
10085252	Liberal Arts and Sciences	400121.00	3	2011
10085173	Other Administrative Units	2079078.00	4	2011
10085264	Other Administrative Units	54000.00	2	2011
10087884	Liberal Arts and Sciences	705452.00	3	2011
10088095	Liberal Arts and Sciences	294451.00	3	2011
10082003	Medicine	70020.00	2	2011
10085645	Medicine	84375.00	2	2011
10085280	Other Administrative Units	35000.00	2	2011
10085227	Other Administrative Units	53533.00	2	2011
10088280	Liberal Arts and Sciences	50000.00	2	2011
10087687	Liberal Arts and Sciences	299721.00	3	2011
10085646	Medicine	168525.00	3	2011
10085070	Medicine	371250.00	3	2011
10085228	Other Administrative Units	23593.00	2	2011
10086515	Other Administrative Units	2456.00	1	2011
10087748	Liberal Arts and Sciences	71501.00	2	2011
10085821	Liberal Arts and Sciences	12460.00	2	2011
10085879	Medicine	1000.00	1	2011
10085855	Medicine	80555.00	2	2011
10085922	Liberal Arts and Sciences	80024.00	2	2011
10086109	Liberal Arts and Sciences	713000.00	3	2011
10085837	Other Administrative Units	195000.00	3	2011
10087755	Other Administrative Units	307462.00	3	2011
10086414	Liberal Arts and Sciences	163932.00	3	2011
10087154	Liberal Arts and Sciences	275718.00	3	2011
10087569	Other Administrative Units	56108.00	2	2011
10087221	Other Administrative Units	40000.00	2	2011
10086763	Medicine	506985.00	3	2011
10086880	Medicine	25000.00	2	2011
10087185	Liberal Arts and Sciences	124798.00	3	2011
10087385	Liberal Arts and Sciences	7500.00	1	2011
10088180	Other Administrative Units	25000.00	2	2011
10088231	Other Administrative Units	100000.00	3	2011
10087440	Medicine	245734.00	3	2011
10087382	Medicine	246891.00	3	2011
10087437	Liberal Arts and Sciences	50000.00	2	2011
10086474	Liberal Arts and Sciences	22950.00	2	2011
10087386	Medicine	79337.00	2	2011
10088340	Medicine	359370.00	3	2011
10088258	Other Administrative Units	93735.00	2	2011
10087991	Other Administrative Units	20000.00	2	2011
10086487	Liberal Arts and Sciences	121013.00	3	2011
10086422	Liberal Arts and Sciences	107423.00	3	2011
10084752	Other Administrative Units	100000.00	3	2011
10086228	Other Administrative Units	169660.00	3	2011
10086627	Liberal Arts and Sciences	198500.00	3	2011
10086859	Liberal Arts and Sciences	180000.00	3	2011
10088002	Other Administrative Units	20000.00	2	2011
10082765	Other Administrative Units	300000.00	3	2011
10086176	Liberal Arts and Sciences	59983.00	2	2011
10086246	Liberal Arts and Sciences	52214.00	2	2011
10088454	Medicine	3125.00	1	2011
10088625	Medicine	113250.00	3	2011
10085127	Other Administrative Units	50000.00	2	2011
10085578	Other Administrative Units	8220.00	1	2011
10087453	Liberal Arts and Sciences	271574.00	3	2011
10087494	Liberal Arts and Sciences	113927.00	3	2011
10088084	Medicine	364419.00	3	2011
10087339	Medicine	349349.00	3	2011
10086456	Other Administrative Units	1000.00	1	2011
10087062	Other Administrative Units	44430.00	2	2011
10088374	Liberal Arts and Sciences	5200.00	1	2011
10088464	Liberal Arts and Sciences	100000.00	3	2011
10087576	Medicine	53125.00	2	2011
10087978	Medicine	303925.00	3	2011
10088466	Liberal Arts and Sciences	100000.00	3	2011
10088468	Liberal Arts and Sciences	100000.00	3	2011
10086875	Medicine	5141.00	1	2011
10087199	Medicine	43188.00	2	2011
10088184	Liberal Arts and Sciences	283200.00	3	2011
10088647	Liberal Arts and Sciences	577037.00	3	2011
10086584	Medicine	20625.00	2	2011
10085886	Medicine	79208.00	2	2011
10085253	Liberal Arts and Sciences	37066.00	2	2011
10084890	Liberal Arts and Sciences	49780.00	2	2011
10086457	Medicine	40516.00	2	2011
10086481	Medicine	301913.00	3	2011
10084929	Liberal Arts and Sciences	2600.00	1	2011
10085614	Liberal Arts and Sciences	25660.00	2	2011
10086143	Medicine	0.00	1	2011
10086292	Medicine	86194.00	2	2011
10085483	Liberal Arts and Sciences	195810.00	3	2011
10085715	Liberal Arts and Sciences	158000.00	3	2011
10085357	Liberal Arts and Sciences	110000.00	3	2011
10085791	Liberal Arts and Sciences	182667.00	3	2011
10085136	Medicine	276560.00	3	2011
10085188	Medicine	187500.00	3	2011
10084557	Liberal Arts and Sciences	203904.00	3	2011
10082489	Liberal Arts and Sciences	284364.00	3	2011
10082670	Liberal Arts and Sciences	155000.00	3	2011
10086509	Liberal Arts and Sciences	600.00	1	2011
10085287	Medicine	81460.00	2	2011
10085643	Medicine	46610.00	2	2011
10087303	Liberal Arts and Sciences	15700.00	2	2011
10087336	Liberal Arts and Sciences	127681.00	3	2011
10085382	Medicine	48000.00	2	2011
10082074	Medicine	311250.00	3	2011
10085941	Liberal Arts and Sciences	23000.00	2	2011
10082866	Liberal Arts and Sciences	0.00	1	2011
10078226	Medicine	7500.00	1	2011
10080847	Medicine	371377.00	3	2011
10082895	Liberal Arts and Sciences	133964.00	3	2011
10084412	Liberal Arts and Sciences	33218.00	2	2011
10082781	Medicine	105000.00	3	2011
10083288	Medicine	365000.00	3	2011
10085700	Liberal Arts and Sciences	48688.00	2	2011
10085650	Liberal Arts and Sciences	26406.00	2	2011
10084282	Medicine	540000.00	3	2011
10085093	Medicine	317459.00	3	2011
10085500	Liberal Arts and Sciences	10000.00	2	2011
10085552	Liberal Arts and Sciences	94948.00	2	2011
10085030	Liberal Arts and Sciences	125202.00	3	2011
10085053	Liberal Arts and Sciences	5250.00	1	2011
10084705	Medicine	651120.00	3	2011
10084706	Medicine	305502.00	3	2011
10082155	Liberal Arts and Sciences	33000.00	2	2011
10082333	Liberal Arts and Sciences	19803.00	2	2011
10084650	Medicine	300255.00	3	2011
10084711	Medicine	315220.00	3	2011
10083864	Liberal Arts and Sciences	10000.00	2	2011
10083473	Liberal Arts and Sciences	1240481.00	4	2011
10084735	Medicine	127440.00	3	2011
10084808	Medicine	127440.00	3	2011
10079806	Liberal Arts and Sciences	50205.00	2	2011
10084988	Liberal Arts and Sciences	98328.00	2	2011
10085086	Medicine	118246.00	3	2011
10085039	Medicine	15000.00	2	2011
10085046	Medicine	325077.00	3	2011
10084923	Medicine	14859.00	2	2011
10085929	Liberal Arts and Sciences	71500.00	2	2011
10088648	Liberal Arts and Sciences	108344.00	3	2011
10087773	Liberal Arts and Sciences	311953.00	3	2011
10085857	Liberal Arts and Sciences	50986.00	2	2011
10084855	Liberal Arts and Sciences	53593.00	2	2011
10084856	Liberal Arts and Sciences	17864.00	2	2011
10085363	Liberal Arts and Sciences	23734.00	2	2011
10081757	Liberal Arts and Sciences	23616.00	2	2011
10084950	Medicine	394329.00	3	2011
10084994	Medicine	265346.00	3	2011
